track_id,track_name,track_artist,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
697MjF1454XKvZmTuqkWmD,I Miss You,Jeriqo,2vJ6FDg6ZMS56U8Wbiw2Oz,I Miss You,2019-02-05,Pop Hits 2000-2019,6mtYuOxzl58vSGnEDtZ9uB,edm,pop edm,0.52,0.789,0,-7.717,1,0.0432,0.00491,1.34E-05,0.0816,0.415,174.026,216347
3x2bXiU0o4WbsPkawXlfDA,Who Are You,The Who,6LRJF97hgXHj8uMLHyCDbh,Who Are You (Remastered),1978-08-18,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.651,0.661,9,-11.405,1,0.0511,0.265,0.00313,0.106,0.489,156.371,378707
0jEaPBjFAWjQTMVouRwaHi,Happy,The Beef Seeds,4IQn9XpweytNX2cUe2NBUH,Keepin' it Beefy,2015-01-19,Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop,0.64,0.758,10,-5.204,1,0.16,0.665,0,0.127,0.932,86.529,218044
5EKUb1FKsyYVaSXb41YBIj,ONE,Rev Theory,0gGic19XvEiHKKWBV7M4YM,ONE,2020-01-15,Rock Hard,37i9dQZF1DWWJOmJ7nRx0C,rock,hard rock,0.398,0.966,4,-2.352,0,0.0453,5.74E-06,0,0.303,0.52,90.016,208196
300DUx4tdtCdGEUXR032jA,Palace/Curse,The Internet,69g3CtOVg98TPOwqmI2K7Q,Ego Death,2015-06-26,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.447,0.625,10,-8.212,0,0.323,0.0351,0.000727,0.243,0.261,67.104,440013
1itdjHXFxPQUje5AsI5e9P,Hände hoch,Baba Saad,474520Emg4GhbVg9rmqfib,Hände hoch,2017-11-06,Gangster Rap Deutsch,1qXg9ck25tBRxeXsj8mbDG,rap,gangster rap,0.609,0.613,1,-6.662,1,0.384,0.145,0,0.383,0.498,91.113,154768
3HFdPsHeAtmIrCz5fOYnp4,I'll Be Around - Remastered Version,The Spinners,4Njh8ZQ1VG46bOo8YBF2L9,Definitive Soul: Spinners,2007-04-02,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.833,0.806,4,-7.439,1,0.0463,0.271,1.23E-06,0.159,0.841,112.23,191787
4xvTPuwHaXoDM3p0QcY7bH,Música,DJ Luian,2FQMp3csm8cgY6vCJkGpN6,Música,2019-12-04,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,0.788,0.82,1,-4.346,0,0.169,0.22,0.000203,0.0799,0.854,177.927,223815
0CVX3h1ogdgdnG9QdJGIyQ,Trippie Redd,Coqeéin Montana,3rkQQ1yre37EDdaoGRRRLT,Trippie Redd,2019-11-15,Trapperz Argentina,37i9dQZF1DWXrVH01e3PIE,rap,trap,0.839,0.789,9,-4.645,1,0.17,0.157,9.19E-06,0.106,0.629,149.946,259200
4thnq3xsCY2KdVGWxM6y38,Close Enough to Hurt,Rod Wave,5VdxPp341F7XzQyKmzMKiI,Close Enough to Hurt,2019-10-23,NEO SOUL GUITAR,0r5ojPhjqGVq21oQR13UJy,r&b,neo soul,0.803,0.515,6,-8.758,0,0.127,0.286,0,0.115,0.2,78.021,135419
7AA4lNDVhoyucOqhBO56XU,"Aczino: Bzrp Freestyle Sessions, Vol. 8",Bizarrap,2Ndg4eoQ9xUyZIPKrxiMoL,"Aczino: Bzrp Freestyle Sessions, Vol. 8",2019-12-18,Arena Hip-Hop,37i9dQZF1DWVFZbCNivv6B,rap,hip hop,0.611,0.84,7,-4.886,1,0.361,0.0526,0,0.083,0.68,85.558,177327
3eDKAKSjpTFVESPkMlfNXa,You Better Know,WITCH,4910t2DpHO9RQd2XctS8wT,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 1 (1972-1977)",2017-05-19,Afro Psychedelica,37i9dQZF1DWVyizF9BJ61m,rock,classic rock,0.704,0.463,2,-6.846,1,0.0293,0.443,0.0156,0.125,0.514,127.616,210307
34v7cD6VR3fVYguedQ1wuh,Tropical Forest,The Sleep Specialist,3TRoUn8OKRVUcbprXmyGgj,Jungle And Forest Sounds,2017-01-09,Tropical Nights,37i9dQZF1DX0ES2mnOVvai,latin,tropical,0.311,0.377,3,-36.509,0,0.0366,0.129,0.979,0.247,0.0388,84.122,117449
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,LMFAO,1MbBSfcqLg2OjkeZ1RMSIq,Sorry For Party Rocking,2011-01-01,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,262173
0P5lXk4fg0682IgDyK7GFM,I'm Blue - Club Mix,Kush Kush,785itgCjNtYOiRpu1SIDoo,I'm Blue (Club Mixes),2019-09-13,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,pop edm,0.735,0.915,0,-5.082,0,0.0475,0.0456,0.000152,0.238,0.615,124.007,150000
5ewa79Xg31HDefmPUpZX0Y,Video,India.Arie,2vc5pjWadm2Q8FxdJ3JSwV,Acoustic Soul,2001-03-27,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.652,0.604,9,-8.766,0,0.227,0.111,1.01E-05,0.0409,0.675,170.003,249960
37AJxyHmL3ShqtPnkpbbDN,Birds,Migos,56PJDByaunMWwCqs5rV3Nc,No Label II,2014-06-03,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.84,0.561,1,-8.259,1,0.205,0.0895,0,0.362,0.283,132,278608
