track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
697MjF1454XKvZmTuqkWmD,I Miss You,Jeriqo,45,2vJ6FDg6ZMS56U8Wbiw2Oz,I Miss You,2019-02-05,Pop Hits 2000-2019,6mtYuOxzl58vSGnEDtZ9uB,edm,pop edm,0.52,0.789,0,-7.717,1,0.0432,0.00491,1.34e-05,0.0816,0.415,174.026,216347
3x2bXiU0o4WbsPkawXlfDA,Who Are You,The Who,17,6LRJF97hgXHj8uMLHyCDbh,Who Are You (Remastered),1978-08-18,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.651,0.661,9,-11.405,1,0.0511,0.265,0.00313,0.106,0.489,156.371,378707
0jEaPBjFAWjQTMVouRwaHi,Happy,The Beef Seeds,30,4IQn9XpweytNX2cUe2NBUH,Keepin' it Beefy,2015-01-19,Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop,0.64,0.758,10,-5.204,1,0.16,0.665,0.0,0.127,0.932,86.529,218044
5EKUb1FKsyYVaSXb41YBIj,ONE,Rev Theory,35,0gGic19XvEiHKKWBV7M4YM,ONE,2020-01-15,Rock Hard,37i9dQZF1DWWJOmJ7nRx0C,rock,hard rock,0.398,0.966,4,-2.352,0,0.0453,5.74e-06,0.0,0.303,0.52,90.016,208196
300DUx4tdtCdGEUXR032jA,Palace/Curse,The Internet,62,69g3CtOVg98TPOwqmI2K7Q,Ego Death,2015-06-26,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.447,0.625,10,-8.212,0,0.323,0.0351,0.000727,0.243,0.261,67.104,440013
1itdjHXFxPQUje5AsI5e9P,Hände hoch,Baba Saad,22,474520Emg4GhbVg9rmqfib,Hände hoch,2017-11-06,Gangster Rap Deutsch,1qXg9ck25tBRxeXsj8mbDG,rap,gangster rap,0.609,0.613,1,-6.662,1,0.384,0.145,0.0,0.383,0.498,91.113,154768
3HFdPsHeAtmIrCz5fOYnp4,I'll Be Around - Remastered Version,The Spinners,33,4Njh8ZQ1VG46bOo8YBF2L9,Definitive Soul: Spinners,2007-04-02,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.833,0.806,4,-7.439,1,0.0463,0.271,1.23e-06,0.159,0.841,112.23,191787
4xvTPuwHaXoDM3p0QcY7bH,Música,DJ Luian,78,2FQMp3csm8cgY6vCJkGpN6,Música,2019-12-04,LATIN POP 2020 🔥 Pop latino actual,2kKzN3kRYDzBctlaWs7CP2,latin,latin pop,0.788,0.82,1,-4.346,0,0.169,0.22,0.000203,0.0799,0.854,177.927,223815
0CVX3h1ogdgdnG9QdJGIyQ,Trippie Redd,Coqeéin Montana,44,3rkQQ1yre37EDdaoGRRRLT,Trippie Redd,2019-11-15,Trapperz Argentina,37i9dQZF1DWXrVH01e3PIE,rap,trap,0.839,0.789,9,-4.645,1,0.17,0.157,9.19e-06,0.106,0.629,149.946,259200
4thnq3xsCY2KdVGWxM6y38,Close Enough to Hurt,Rod Wave,50,5VdxPp341F7XzQyKmzMKiI,Close Enough to Hurt,2019-10-23,NEO SOUL GUITAR,0r5ojPhjqGVq21oQR13UJy,r&b,neo soul,0.803,0.515,6,-8.758,0,0.127,0.286,0.0,0.115,0.2,78.021,135419
7AA4lNDVhoyucOqhBO56XU,"Aczino: Bzrp Freestyle Sessions, Vol. 8",Bizarrap,69,2Ndg4eoQ9xUyZIPKrxiMoL,"Aczino: Bzrp Freestyle Sessions, Vol. 8",2019-12-18,Arena Hip-Hop,37i9dQZF1DWVFZbCNivv6B,rap,hip hop,0.611,0.84,7,-4.886,1,0.361,0.0526,0.0,0.083,0.68,85.558,177327
3eDKAKSjpTFVESPkMlfNXa,You Better Know,WITCH,31,4910t2DpHO9RQd2XctS8wT,"Welcome To Zamrock! How Zambia's Liberation Led To a Rock Revolution, Vol. 1 (1972-1977)",2017-05-19,Afro Psychedelica,37i9dQZF1DWVyizF9BJ61m,rock,classic rock,0.704,0.463,2,-6.846,1,0.0293,0.443,0.0156,0.125,0.514,127.616,210307
34v7cD6VR3fVYguedQ1wuh,Tropical Forest,The Sleep Specialist,54,3TRoUn8OKRVUcbprXmyGgj,Jungle And Forest Sounds,2017-01-09,Tropical Nights,37i9dQZF1DX0ES2mnOVvai,latin,tropical,0.311,0.377,3,-36.509,0,0.0366,0.129,0.979,0.247,0.0388,84.122,117449
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,LMFAO,67,1MbBSfcqLg2OjkeZ1RMSIq,Sorry For Party Rocking,2011-01-01,Dr. Q's Prescription Playlist💊,6jAPdgY9XmxC9cgkXAVmVv,pop,post-teen pop,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262173
0P5lXk4fg0682IgDyK7GFM,I'm Blue - Club Mix,Kush Kush,65,785itgCjNtYOiRpu1SIDoo,I'm Blue (Club Mixes),2019-09-13,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,edm,pop edm,0.735,0.915,0,-5.082,0,0.0475,0.0456,0.000152,0.238,0.615,124.007,150000
5ewa79Xg31HDefmPUpZX0Y,Video,India.Arie,14,2vc5pjWadm2Q8FxdJ3JSwV,Acoustic Soul,2001-03-27,Neo-Soul / Soulful R&B,4F3xAxHxeBwXhK6k6GPnrW,r&b,neo soul,0.652,0.604,9,-8.766,0,0.227,0.111,1.01e-05,0.0409,0.675,170.003,249960
37AJxyHmL3ShqtPnkpbbDN,Birds,Migos,42,56PJDByaunMWwCqs5rV3Nc,No Label II,2014-06-03,◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance,0Hr2h94pKN8QAGVAgD6BsD,rap,southern hip hop,0.84,0.561,1,-8.259,1,0.205,0.0895,0.0,0.362,0.283,132.0,278608
5NHn7UwIgpLQls7LhwF955,House Of Cards (feat. Sidnie Tipton),KSHMR,46,4NcSr9WZLb3CTSt1iaX30g,House Of Cards (feat. Sidnie Tipton),2018-02-16,Electropop - Pop,5TiiHps0hNCyQ6ijVkNZQs,pop,electropop,0.556,0.817,9,-4.442,0,0.0737,0.0195,2.45e-05,0.266,0.423,109.999,188652
53rhwRKKrsWaT6tuSzymdY,mEnorme,Linn da Quebrada,37,5BQRSpNUoFP8oLGbGwvwWj,mEnorme,2018-11-09,Orgulho Tropical,37i9dQZF1DWZ8fJXMbebf9,latin,tropical,0.383,0.508,1,-9.587,1,0.0482,0.127,0.000198,0.234,0.226,124.817,224246
4YmxakmVsl3YtvNFrB9ih3,Buggin' - Edit,Hot Since 82,46,2BmYbrmX78INsBORi8bL9r,Buggin',2018-06-28,Deep Electronic Music 2020 & Progressive House,5CMvAWTlDPdZnkleiTHyyo,edm,progressive electro house,0.738,0.851,0,-6.573,1,0.0391,0.00104,0.437,0.43,0.359,123.998,275806
5X1x7olCET1Kix9YjOMTkN,Wherewithal,Bokki,56,3oJGMM6U9KPZmnhgk92Pck,Wherewithal,2018-10-25,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.639,0.265,6,-17.125,1,0.061,0.88,0.646,0.87,0.137,82.021,159017
06Gyf2pFDVmN5K8XAawG96,No Cap,Future,58,187UNqZ7MX3neMYkkevmdm,SUPER SLIMEY,2017-10-20,RAP Gangsta,1Z1gW89x4MSBjkvVjGg7DQ,rap,gangster rap,0.8,0.523,1,-6.578,1,0.107,0.00108,0.0,0.352,0.379,147.057,144142
7LRJmZ6G5qHQEG2CGeTCji,We Can (feat. Tory Lanez),Kranium,58,6MhwOilsUaISxb4VnIuxpl,We Can (feat. Tory Lanez),2016-09-23,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.552,0.618,5,-6.757,0,0.32,0.42,0.0,0.109,0.399,132.765,194586
7MRU4vOkywuhZ9kbFiPuiu,Si Supieras,Daddy Yankee,80,4lmKt00bHLEeqJRTlNOxXS,Si Supieras,2019-06-28,Urbano: Latino Vibes,0VsVywryrqLhHmsVFVcOAg,latin,latin hip hop,0.691,0.894,9,-1.681,0,0.115,0.291,0.0,0.104,0.623,184.019,241880
0wiBYsf6AMo2oIMIubtqOT,Platinum Plus,Big L,0,2GJNq4qI1bVUGheC2Qevfn,The Big Picture (Explicit Version),2000-08-01,90s Hiphop / Gangsta Rap,5yGuoOwRQF3o8NVRRlvCj7,rap,gangster rap,0.627,0.64,10,-10.141,0,0.301,0.000894,0.0,0.0942,0.882,97.226,217733
7qIICzwgm3eu1Ic3ufPGJf,Thick And Thin,LANY,5,7qj0DUUeZjpbHIkNFQxSkb,TAT / IDWLYA / TTT,2018-09-12,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,pop,indie poptimism,0.686,0.564,5,-6.063,0,0.03,0.0599,0.0,0.0914,0.266,99.968,212429
5vXEj2R1LZFG4D5U70jXnz,Can We Talk,Tevin Campbell,47,1xhsYljQkbDeXaBljIc5Ce,Rhino Hi-Five: Tevin Campbell,2005-12-20,New Jack Swing,3ykXidKLz1eYPvuGoFlD1e,r&b,new jack swing,0.658,0.711,2,-7.424,0,0.0425,0.0759,1.77e-05,0.0446,0.614,172.365,284587
47dTK2wCmCOlYw2wLZDo1W,Saturday Night,The Herbaliser,16,2iITDFv9VGAjLMsIQBzGlh,Blow Your Headphones,1997-03-01,Smooth Hip Hop,7ozFIvz1bE1HPgQTUl5qfT,r&b,hip pop,0.827,0.567,1,-10.078,1,0.203,0.0508,0.000183,0.0622,0.663,89.07,306467
0k5YE4nhWJdgzhyTv0YPHP,Stranger,Alfie Connor,24,45m3VI2tUlicrYPgK1Jaj4,Stranger,2015-02-24,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,pop,indie poptimism,0.611,0.369,10,-10.412,1,0.0811,0.657,0.0,0.112,0.362,80.111,187014
1D6dE2mMlGz3WN1gjKQ76E,Mr. Writer,Stereophonics,51,51I2N3YcrmqOJfzywty3l4,Just Enough Education To Perform,2001-01-01,Permanent Wave Cafe,0VS9w0NY4KXfLORkhY81s8,rock,permanent wave,0.447,0.775,5,-3.496,0,0.0383,0.0483,0.0,0.103,0.164,133.416,319293
2Pph0CUJ8uksCBzV6iyuQF,Lost,Blake Rose,69,16A6HpMW9UMCB3GNA0Es7a,Lost,2019-02-08,2019 in Indie Poptimism,16RNbqnNCCLlBJti7JU5nc,pop,indie poptimism,0.595,0.687,4,-6.536,1,0.0486,0.216,0.0,0.107,0.508,94.73,234623
35FIDQv0u26DSknDahmcdz,With You,Lewka,41,5JidIN4s1iPbc7zuIHhUIw,With You,2019-08-16,Tropical House 🏝 2020 Hits,2SRbIs0eBQwHeTP7kErjwo,latin,tropical,0.692,0.861,7,-4.864,0,0.0619,0.38,2.07e-05,0.215,0.558,115.029,137348
4ZIvqmpihn94QyFfGcQtdZ,Asli Hip Hop,Ranveer Singh,54,3UhZwBv1QvSLG1OFQXx930,Gully Boy,2019-01-24,RAP 91,37i9dQZF1DX1ct2TQrAvRf,rap,hip hop,0.667,0.641,8,-11.009,1,0.609,0.572,0.0,0.311,0.963,169.968,108827
1siDRjAa8MdxNoCHTiiQ7B,Been Around the World (feat. The Notorious B.I.G. & Mase),Diddy,58,4OGaOZUHLhSeiicZB909aL,No Way Out,1997,90s Gangsta Rap / Top Hip-hop Classics,0C2zyPdlkbWHrwVg9gqNdU,rap,gangster rap,0.815,0.529,6,-10.117,0,0.28,0.0191,0.0,0.406,0.73,99.439,325933
5n0CTysih20NYdT2S0Wpe8,Trouble,Cage The Elephant,72,0nW0w37lrQ87k7PLZvC4qJ,Tell Me I'm Pretty,2015-12-18,Indie Poptimism,7Ic1UwucK3ozdycPBIPVSR,pop,indie poptimism,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000453,0.0992,0.298,77.861,225973
5nLJL6DLanZaAq8DVkBs62,La Clase,Cazzu,61,5zbO01D6uIqC2ejQSQEN2O,Error 93,2019-06-03,Trapperz,37i9dQZF1DWUmxBdWX3Pp4,rap,trap,0.849,0.56,1,-8.573,1,0.344,0.181,3.29e-06,0.223,0.299,130.924,267171
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),Looking Glass,72,5ThwnbpYrk9R1xXkAGCLIs,Looking Glass,1972,70s Pop & Rock Hits and Deep Tracks,1uKFRCQYci8kVgMy3xzTVH,rock,album rock,0.715,0.625,1,-11.369,0,0.0601,0.396,1.95e-05,0.134,0.826,125.275,186827
0QNlZgXWDIMdqv6Gjgq0K3,Soul Fifty,Chocolate Puma,53,79mGFrYCMldNKJXDXnW1Q8,Soul Fifty,2020-01-10,💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house,0.694,0.92,11,-4.783,0,0.0792,0.018,0.876,0.0462,0.579,124.961,157440
19UgUdi5wEziJJg239wPYU,Drifting - Tim Schaufert Remix,TWO LANES,43,5jdJ2EKCV9KicYZQucz9JC,Drifting (Remixes),2019-11-22,Trap Nation,0NCspsyf0OS4BsPgGhkQXM,rap,trap,0.611,0.393,9,-13.501,0,0.144,0.292,0.908,0.112,0.167,80.006,189273
7BKLCZ1jbUBVqRi2FVlTVw,Closer (feat. Halsey),The Chainsmokers,85,0rSLgV8p5FzfnqlEk4GzxE,Closer (feat. Halsey),2016-07-29,Post pop teen,222nc9tKxKhfZ2GBrOpwH3,pop,post-teen pop,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960
4cFykOhUKQ5dnwLYf59s00,Disciples,Stee Downes,0,6Pxaila5LZFj9LZqiffoa0,All In A Day,2008-10-20,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.678,0.782,0,-7.416,0,0.115,0.117,0.0,0.242,0.865,116.039,250480
6qsArsTq6WoqtUFUe1e15W,Airplanes,Local Natives,49,2cIpJDijNEoHv88jJKwDID,Gorilla Manor,2010-02-16,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,pop,dance pop,0.588,0.529,2,-7.838,1,0.0242,0.534,0.0683,0.126,0.591,95.971,237933
2OxUtaKYeahAGNaBiahXtR,Diabla - Official Remix,Farruko,68,3vMjckv3marP7H96rP6VKZ,Diabla (Official Remix),2017-02-25,Trap Rewind,37i9dQZF1DX0JcH25923HT,rap,trap,0.684,0.725,7,-4.343,1,0.0863,0.448,0.0,0.194,0.575,137.945,331413
4iLqG9SeJSnt0cSPICSjxv,Attention,Charlie Puth,23,0t0NkQulrNkxw2oUZZHboA,Attention,2017-04-20,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,211475
3ahC30o4eQOsfQ6uHhkr0g,Lalu,Omy de Oro,53,6LDEPHqZF6bOMbSDg5VmlO,Lalu,2019-11-21,Trap Land,37i9dQZF1DXde9tuMHuIsj,rap,trap,0.802,0.548,0,-8.798,1,0.111,0.12,0.000131,0.218,0.24,145.059,204663
3uhTOxvu2h2YEm0uPNF2vi,Doch in der Nacht,Apache 207,79,0IoleYbJxOgQLuZDkzyzPG,Platte,2019-10-25,Modus Mio,37i9dQZF1DX36edUJpD76c,rap,hip hop,0.901,0.832,9,-6.906,0,0.074,0.121,0.249,0.213,0.708,130.994,191760
5vCMqXWUY0gQffbbX1z2eK,Visit By Cap Kendricks,Funky Notes,56,4Tp1yDTcXEOg5Nu8jb9cjV,Second Home,2019-05-03,Jazz Vibes,37i9dQZF1DX0SM0LYsmbMT,rap,hip hop,0.525,0.729,6,-5.085,0,0.328,0.339,0.000494,0.538,0.842,81.634,195333
2EBCVPNAG46nbgs6jXPGvv,Starships,Nicki Minaj,73,22F5ZYY1sxoJjk6HzZfmC1,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),2012-01-01,2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS,2DjIfVDXGYDgRxw7IJTKVb,edm,pop edm,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,210627
5WNYg3usc6H8N3MBEp4zVk,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",74,2nkto6YNI4rUYTLqEwWJ3o,Flower Boy,2017-07-21,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,320720
1E5m92fn5c92TUH6NP7HDX,Tutto apposto (feat. Capo Plaza),Philip,63,0nKGLpCDpfDeNMgXLlsYiw,Tutto apposto (feat. Capo Plaza),2019-09-27,Zona Trap,37i9dQZF1DWXU2naFUn37x,rap,trap,0.7,0.616,4,-8.505,1,0.155,0.27,0.0,0.174,0.55,140.0,175429
6x7r0lpyqxBKGq8J7LFMeu,Sun Is Never Going Down (feat. Dawn Golden),Martin Garrix,52,0f1CZexom6ELxbDZx32fyk,Seven,2016-10-28,Hands Up‏‏​​   ‍,1lSdljPk8zcAdXVMUduDia,edm,progressive electro house,0.506,0.726,5,-5.964,0,0.0366,0.00308,8.05e-05,0.266,0.266,128.044,204418
6h3NfvlWed8jwv1xECzQE4,Crush,Beckett,37,0BqlMoauOZmhtKbVZ5Dlhc,Primetime,2016-12-24,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.709,0.545,0,-10.37,1,0.0359,0.284,0.948,0.0529,0.587,112.631,226647
2iQecdm9sXeYFg9uem5hmt,No Te Puedo Olvidar,Camilo Séptimo,55,5Tgu2cu18iufiBiwlE7Fht,Óleos,2017-03-31,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,pop,electropop,0.697,0.6,1,-9.439,0,0.0266,0.146,0.125,0.0965,0.498,99.979,278272
0vRvoOEUTabrQNmqUCD5Uw,The Spook Returns,KSHMR,0,3KgMiD9uBGsdfjuefgDGik,The Spook Returns,2016-11-18,Big Room House | Festival Bangers,5Bx5niVgi3qGQQw06C0RKq,edm,big room,0.466,0.936,1,-4.405,0,0.185,0.00948,0.356,0.154,0.37,127.863,189896
7LzouaWGFCy4tkXDOOnEyM,Liar,Camila Cabello,87,3xgS4rfthlsvhW7J2WLiiR,Liar,2019-09-04,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.74,0.498,11,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,98.016,207039
0l0CvurVUrr2w3Jj1hOVFc,NO,Meghan Trainor,69,08eweM0IZoZPCCxODbrMoL,Thank You (Deluxe Version),2017-05-12,Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s,4QAzO1Z92yqqD6Mf3mOANu,pop,dance pop,0.557,0.801,1,-3.602,0,0.218,0.0125,1.66e-06,0.737,0.654,92.135,213507
3ALLv1BQxYFlJ8XQOQtgW1,DIEZ MINUTOS (feat. Mario Bautista),Paula Cendejas,44,5EMNFBHTdsIeCMqKou5HuQ,DIEZ MINUTOS (feat. Mario Bautista),2019-07-26,Latin Pop Songs,5uOMV7g6vp8WxoqXfkzKaw,latin,latin pop,0.805,0.767,8,-3.977,0,0.056,0.087,0.00722,0.177,0.797,97.986,189894
5Ng5imfPCY4S1RxugcYd3g,Did I Do Something Wrong?,Bex,36,1e5inhXMjtPWEBjQqrD3XM,Did I Do Something Wrong?,2019-12-13,The Edge of Indie Poptimism,5vIdb67lQcdFwoVkE4UMep,pop,indie poptimism,0.445,0.28,2,-8.487,0,0.0313,0.609,0.0,0.149,0.0659,123.828,282773
3uYzfyifC7J1j1IEjN1xz6,This Love - Acoustic,Maroon 5,2,3toVRkWzjEYU9U51GDqllW,1.22.03 Acoustic,2004,Unplugged Hits 📣,5NTm3injIRkUMROsZr3C2O,latin,latin pop,0.637,0.631,1,-8.934,1,0.0665,0.508,1.39e-05,0.38,0.683,91.111,255293
4VOSwu01kbILSLnLTD6oG0,Anotha Day Anotha Balla,South Circle,17,7mSFMSNaJi8qgJEyakyfcp,Anotha Day Anotha Balla,1995-07-04,Southern Hip Hop,3R5c1OfJY7Rzl3p28pzGtL,rap,southern hip hop,0.704,0.62,7,-6.454,1,0.296,0.132,0.0,0.112,0.712,75.168,193627
6JvfBzqZmSiEG5MjM7OcSY,Diddy Bop (feat. Cam O'bi & Raury),Noname,63,18Scpsg5OV1iYNtSaCsjwz,Telefone,2016-08-12,Ultimate Indie Presents... Best Indie Tracks of the 2010s,37i9dQZF1DWTHM4kX49UKs,r&b,hip pop,0.637,0.503,1,-6.927,1,0.336,0.713,0.000113,0.109,0.661,81.061,208000
3VQjHDZKiksfFLm7Fg8dEF,Immortal - Edited Version,Kid Cudi,0,5swgvXgehowppGjSaAXtU5,Immortal,2013-03-14,Hip-Hop 'n RnB,0275i1VNfBnsNbPl0QIBpG,rap,southern hip hop,0.583,0.914,0,-2.295,1,0.158,0.155,1.43e-05,0.389,0.556,84.968,302507
27GmP9AWRs744SzKcpJsTZ,Jumpman,Drake,75,1ozpmkWcCHwsQ4QTnxOOdT,What A Time To Be Alive,2015-09-20,Hip Hop Controller,37i9dQZF1DWT5MrZnPU1zD,rap,hip hop,0.852,0.553,1,-7.286,1,0.187,0.0563,0.0,0.332,0.656,142.072,205879
0r4wOGAdRfCJyaognMP44R,In Da Club,Lil Jon & The East Side Boyz,30,0hk2hXNB5d65F400dhcdcV,Crunk Juice,2004-11-16,90s-2000s Southern Hip Hop / Crunk,5wsWBmQgDtKa8CEg7wTEMi,rap,southern hip hop,0.782,0.718,1,-4.277,1,0.111,0.00834,0.0,0.163,0.641,104.067,269920
5dd8tOJwLqEvasVqvvrJzV,On & On,Erykah Badu,49,0ANbEIqol6OKQl36DYBAom,Baduizm - Special Edition,1997-02-11,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.766,0.397,11,-10.414,0,0.154,0.0473,0.00765,0.261,0.344,80.421,225973
3BffVF4K7OelPuo46KUqhe,Ella Me Levanto,Daddy Yankee,0,7lTcWPFUnZtJ2zQiV9x4xk,El Cartel: The Big Boss (Explicit Version),2007-06-04,REGGAETON ANTIGUO 🔥,42E6uFhL4e2nXmbmeigwXb,latin,reggaeton,0.759,0.9,2,-4.766,0,0.0643,0.0804,0.0,0.224,0.76,100.021,209493
