epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.34375,,1.39999520778656,,
0,99,,0.4375,,1.1526410579681396,,
0,149,,0.4375,,1.1288574934005737,,
0,199,,0.4375,,1.1362171173095703,,
0,249,,0.25,,1.2474815845489502,,
0,299,,0.4375,,1.301521897315979,,
0,349,,0.5,,1.2031009197235107,,
0,399,,0.5625,,1.1857820749282837,,
0,449,,0.5625,,1.0129218101501465,,
0,499,,0.3125,,1.1414194107055664,,
0,549,,0.4375,,1.2285592555999756,,
0,599,,0.4375,,1.1622450351715088,,
0,649,,0.46875,,1.1276211738586426,,
0,699,,0.59375,,0.957236647605896,,
0,738,,,,,0.4743611514568329,1.088103175163269
0,738,0.4510069489479065,,1.1454023122787476,,,
1,749,,0.53125,,1.13443922996521,,
1,799,,0.46875,,1.1883715391159058,,
1,849,,0.375,,1.1164013147354126,,
1,899,,0.5625,,1.0042881965637207,,
1,949,,0.5,,1.0538958311080933,,
1,999,,0.5,,1.0722508430480957,,
1,1049,,0.4375,,0.9502825140953064,,
1,1099,,0.5,,1.0809768438339233,,
1,1149,,0.5,,1.1282739639282227,,
1,1199,,0.5625,,1.1600213050842285,,
1,1249,,0.5625,,1.204409122467041,,
1,1299,,0.5625,,1.0062700510025024,,
1,1349,,0.59375,,0.995454728603363,,
1,1399,,0.5,,1.2005470991134644,,
1,1449,,0.5625,,1.0543936491012573,,
1,1477,,,,,0.48383820056915283,1.0850720405578613
1,1477,0.4762227237224579,,1.1054686307907104,,,
2,1499,,0.3125,,1.1631907224655151,,
2,1549,,0.5625,,0.9932790398597717,,
2,1599,,0.59375,,0.9164028763771057,,
2,1649,,0.375,,1.2012031078338623,,
2,1699,,0.5625,,1.201512336730957,,
2,1749,,0.46875,,1.0843859910964966,,
2,1799,,0.5625,,0.9312949180603027,,
2,1849,,0.375,,1.1244914531707764,,
2,1899,,0.21875,,1.2573490142822266,,
2,1949,,0.375,,1.162480115890503,,
2,1999,,0.375,,1.333351969718933,,
2,2049,,0.4375,,1.1642168760299683,,
2,2099,,0.375,,1.1852048635482788,,
2,2149,,0.53125,,1.1990537643432617,,
2,2199,,0.4375,,1.1209343671798706,,
2,2216,,,,,0.4806227684020996,1.0850213766098022
2,2216,0.47685733437538147,,1.099834680557251,,,
3,2249,,0.46875,,1.2253847122192383,,
3,2299,,0.15625,,1.2522376775741577,,
3,2349,,0.4375,,1.1837420463562012,,
3,2399,,0.4375,,1.1733646392822266,,
3,2449,,0.59375,,0.986667811870575,,
3,2499,,0.40625,,1.1771167516708374,,
3,2549,,0.5625,,1.108453631401062,,
3,2599,,0.5625,,0.9729328751564026,,
3,2649,,0.5625,,0.9842552542686462,,
3,2699,,0.46875,,1.1443219184875488,,
3,2749,,0.4375,,1.3030169010162354,,
3,2799,,0.5,,1.108992099761963,,
3,2849,,0.375,,1.0074801445007324,,
3,2899,,0.5,,1.1449403762817383,,
3,2949,,0.4375,,1.076494812965393,,
3,2955,,,,,0.4890844523906708,1.0794165134429932
3,2955,0.4792689085006714,,1.096906065940857,,,
4,2999,,0.4375,,1.2336024045944214,,
4,3049,,0.5625,,1.1223222017288208,,
4,3099,,0.5,,1.0217187404632568,,
4,3149,,0.4375,,1.1114479303359985,,
4,3199,,0.5625,,0.9480370879173279,,
4,3249,,0.4375,,1.1137031316757202,,
4,3299,,0.5,,1.1346052885055542,,
4,3349,,0.375,,1.2062593698501587,,
4,3399,,0.5,,1.037302851676941,,
4,3449,,0.5,,1.1873544454574585,,
4,3499,,0.53125,,1.010054349899292,,
4,3549,,0.28125,,1.2555384635925293,,
4,3599,,0.5,,1.127126693725586,,
4,3649,,0.40625,,1.2301738262176514,,
4,3694,,,,,0.492299884557724,1.079131007194519
4,3694,0.4785919785499573,,1.0930354595184326,,,
5,3699,,0.53125,,1.140143632888794,,
5,3749,,0.375,,0.9859845042228699,,
5,3799,,0.5625,,1.0845627784729004,,
5,3849,,0.46875,,1.073448896408081,,
5,3899,,0.40625,,0.9819043278694153,,
5,3949,,0.59375,,0.9926947355270386,,
5,3999,,0.53125,,1.0124107599258423,,
5,4049,,0.40625,,1.1827671527862549,,
5,4099,,0.625,,1.006200909614563,,
5,4149,,0.4375,,1.2503093481063843,,
5,4199,,0.3125,,1.1596940755844116,,
5,4249,,0.40625,,1.0704154968261719,,
5,4299,,0.34375,,1.0899109840393066,,
5,4349,,0.46875,,1.1031304597854614,,
5,4399,,0.5,,1.2614675760269165,,
5,4433,,,,,0.4939922094345093,1.0745660066604614
5,4433,0.48362666368484497,,1.09176766872406,,,
6,4449,,0.40625,,1.0802366733551025,,
6,4499,,0.34375,,1.414155125617981,,
6,4549,,0.40625,,1.0866460800170898,,
6,4599,,0.5625,,1.0045934915542603,,
6,4649,,0.46875,,1.353087306022644,,
6,4699,,0.53125,,1.0325665473937988,,
6,4749,,0.4375,,1.1162549257278442,,
6,4799,,0.40625,,1.1281040906906128,,
6,4849,,0.46875,,1.0094149112701416,,
6,4899,,0.625,,1.0502866506576538,,
6,4949,,0.40625,,1.0674852132797241,,
6,4999,,0.25,,1.4092823266983032,,
6,5049,,0.40625,,1.1733986139297485,,
6,5099,,0.40625,,1.187458872795105,,
6,5149,,0.59375,,0.9908802509307861,,
6,5172,,,,,0.48569977283477783,1.0755573511123657
6,5172,0.483965128660202,,1.0878435373306274,,,
7,5199,,0.5625,,1.2769038677215576,,
7,5249,,0.46875,,1.0995886325836182,,
7,5299,,0.59375,,0.9636945128440857,,
7,5349,,0.5,,1.1502532958984375,,
7,5399,,0.625,,0.9512934684753418,,
7,5449,,0.5625,,0.9991112947463989,,
7,5499,,0.34375,,1.2043688297271729,,
7,5549,,0.4375,,1.1243512630462646,,
7,5599,,0.375,,1.1836941242218018,,
7,5649,,0.46875,,1.032195806503296,,
7,5699,,0.46875,,1.1544440984725952,,
7,5749,,0.40625,,1.1601848602294922,,
7,5799,,0.5,,1.0000488758087158,,
7,5849,,0.46875,,1.2218376398086548,,
7,5899,,0.46875,,1.081447958946228,,
7,5911,,,,,0.4953460693359375,1.0685168504714966
7,5911,0.48345744609832764,,1.085482120513916,,,
8,5949,,0.4375,,1.3333815336227417,,
8,5999,,0.5,,1.0153688192367554,,
8,6049,,0.40625,,1.1801613569259644,,
8,6099,,0.71875,,0.8559666872024536,,
8,6149,,0.59375,,0.9673786759376526,,
8,6199,,0.53125,,1.0529800653457642,,
8,6249,,0.6875,,0.9000108242034912,,
8,6299,,0.46875,,1.2087583541870117,,
8,6349,,0.53125,,0.952081561088562,,
8,6399,,0.5,,0.9665223360061646,,
8,6449,,0.59375,,1.0451099872589111,,
8,6499,,0.53125,,1.0277602672576904,,
8,6549,,0.53125,,0.898576021194458,,
8,6599,,0.4375,,1.1728323698043823,,
8,6649,,0.28125,,1.2415064573287964,,
8,6650,,,,,0.4928075671195984,1.0730626583099365
8,6650,0.48650363087654114,,1.0812175273895264,,,
9,6699,,0.5,,0.9648604989051819,,
9,6749,,0.46875,,1.1378215551376343,,
9,6799,,0.375,,1.2894837856292725,,
9,6849,,0.59375,,1.0060126781463623,,
9,6899,,0.46875,,1.0889394283294678,,
9,6949,,0.34375,,1.0555284023284912,,
9,6999,,0.53125,,1.0228312015533447,,
9,7049,,0.5625,,1.0358161926269531,,
9,7099,,0.46875,,1.0989621877670288,,
9,7149,,0.5,,1.0602604150772095,,
9,7199,,0.5625,,0.982956051826477,,
9,7249,,0.40625,,1.164755940437317,,
9,7299,,0.53125,,1.1902656555175781,,
9,7349,,0.5625,,1.0436241626739502,,
9,7389,,,,,0.49263834953308105,1.0693740844726562
9,7389,0.48904213309288025,,1.0785329341888428,,,
10,7399,,0.5,,1.0275135040283203,,
10,7449,,0.5,,1.0633649826049805,,
10,7499,,0.4375,,1.138266921043396,,
10,7549,,0.5,,1.0420019626617432,,
10,7599,,0.40625,,1.148550033569336,,
10,7649,,0.4375,,1.0324628353118896,,
10,7699,,0.625,,0.8959070444107056,,
10,7749,,0.46875,,1.1763454675674438,,
10,7799,,0.40625,,1.0352140665054321,,
10,7849,,0.4375,,1.2399734258651733,,
10,7899,,0.5,,1.1413867473602295,,
10,7949,,0.5,,0.9736924171447754,,
10,7999,,0.5,,1.080733299255371,,
10,8049,,0.3125,,1.2742977142333984,,
10,8099,,0.53125,,1.1279593706130981,,
10,8128,,,,,0.494161456823349,1.0698362588882446
10,8128,0.4881959855556488,,1.0760077238082886,,,
11,8149,,0.59375,,0.9088011980056763,,
11,8199,,0.59375,,0.9975884556770325,,
11,8249,,0.5625,,0.9730169177055359,,
11,8299,,0.5625,,0.9464959502220154,,
11,8349,,0.46875,,1.0125389099121094,,
11,8399,,0.40625,,1.1131532192230225,,
11,8449,,0.53125,,0.9700974822044373,,
11,8499,,0.40625,,1.1473475694656372,,
11,8549,,0.40625,,1.279242992401123,,
11,8599,,0.5,,1.175032138824463,,
11,8649,,0.65625,,0.938048243522644,,
11,8699,,0.46875,,1.159112811088562,,
11,8749,,0.375,,1.2472953796386719,,
11,8799,,0.5,,1.0842385292053223,,
11,8849,,0.59375,,1.0154244899749756,,
11,8867,,,,,0.492299884557724,1.070416808128357
11,8867,0.4896344542503357,,1.0745701789855957,,,
12,8899,,0.53125,,0.9962480664253235,,
12,8949,,0.5,,1.081215739250183,,
12,8999,,0.40625,,1.0303691625595093,,
12,9049,,0.5625,,0.941342294216156,,
12,9099,,0.4375,,1.1360082626342773,,
12,9149,,0.4375,,1.059496283531189,,
12,9199,,0.46875,,1.0376263856887817,,
12,9249,,0.5625,,1.025956392288208,,
12,9299,,0.46875,,1.0409477949142456,,
12,9349,,0.40625,,1.0655688047409058,,
12,9399,,0.5,,1.0226099491119385,,
