epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.4375,,1.1348845958709717,,
0,99,,0.5,,1.0420225858688354,,
0,149,,0.4375,,1.0646917819976807,,
0,199,,0.34375,,1.1922619342803955,,
0,249,,0.4375,,1.1882336139678955,,
0,299,,0.375,,1.0453637838363647,,
0,349,,0.53125,,1.0208640098571777,,
0,374,,,,,0.4647148549556732,1.108264446258545
0,374,0.44975000619888306,,1.146936058998108,,,
1,399,,0.59375,,0.9707237482070923,,
1,449,,0.40625,,1.249315857887268,,
1,499,,0.40625,,1.22311270236969,,
1,549,,0.34375,,1.0125644207000732,,
1,599,,0.4375,,1.1164273023605347,,
1,649,,0.5,,1.1641952991485596,,
1,699,,0.5,,1.2677619457244873,,
1,749,,0.4375,,1.0962250232696533,,
1,749,,,,,0.46860721707344055,1.1062312126159668
1,749,0.47975000739097595,,1.1014518737792969,,,
2,799,,0.53125,,1.0409696102142334,,
2,849,,0.5,,1.0159164667129517,,
2,899,,0.5625,,1.0599040985107422,,
2,949,,0.46875,,1.1441035270690918,,
2,999,,0.40625,,1.1470924615859985,,
2,1049,,0.375,,1.0446449518203735,,
2,1099,,0.46875,,1.107615351676941,,
2,1124,,,,,0.471314936876297,1.1031030416488647
2,1124,0.4867500066757202,,1.0963633060455322,,,
3,1149,,0.625,,0.9880551099777222,,
3,1199,,0.46875,,1.2247601747512817,,
3,1249,,0.5,,1.2222299575805664,,
3,1299,,0.5625,,0.9664589166641235,,
3,1349,,0.4375,,1.0903410911560059,,
3,1399,,0.5625,,1.1535813808441162,,
3,1449,,0.4375,,1.2470282316207886,,
3,1499,,0.53125,,1.0789878368377686,,
3,1499,,,,,0.4738534390926361,1.1013517379760742
3,1499,0.4891666769981384,,1.0910745859146118,,,
